filename	scene_label
audio/airport-lisbon-1000-40000-a-speccorr.wav	airport
audio/airport-prague-1015-40019-a-speccorr.wav	airport
audio/airport-prague-1023-40027-a-speccorr.wav	airport
audio/airport-prague-1023-40038-a-speccorr.wav	airport
audio/airport-prague-1034-40041-a-speccorr.wav	airport
audio/airport-prague-1015-40047-a-speccorr.wav	airport
audio/airport-lyon-1041-40053-a-speccorr.wav	airport
audio/airport-lisbon-1000-40073-a-speccorr.wav	airport
audio/airport-prague-1069-40101-a-speccorr.wav	airport
audio/airport-prague-1034-40148-a-speccorr.wav	airport
audio/airport-prague-1069-40151-a-speccorr.wav	airport
audio/airport-lyon-1041-40156-a-speccorr.wav	airport
audio/airport-lyon-1095-40158-a-speccorr.wav	airport
audio/airport-lyon-1101-40173-a-speccorr.wav	airport
audio/airport-lyon-1041-40175-a-speccorr.wav	airport
audio/airport-lisbon-1114-40213-a-speccorr.wav	airport
audio/airport-lisbon-1114-40219-a-speccorr.wav	airport
audio/airport-lisbon-1000-40242-a-speccorr.wav	airport
audio/airport-lisbon-1122-40244-a-speccorr.wav	airport
audio/airport-lyon-1095-40245-a-speccorr.wav	airport
audio/airport-prague-1069-40257-a-speccorr.wav	airport
audio/airport-prague-1034-40262-a-speccorr.wav	airport
audio/airport-prague-1015-40266-a-speccorr.wav	airport
audio/airport-prague-1034-40269-a-speccorr.wav	airport
audio/airport-lisbon-1000-40280-a-speccorr.wav	airport
audio/airport-lisbon-1122-40326-a-speccorr.wav	airport
audio/airport-lisbon-1000-40329-a-speccorr.wav	airport
audio/airport-lisbon-1122-40334-a-speccorr.wav	airport
audio/airport-lisbon-1000-40342-a-speccorr.wav	airport
audio/airport-lisbon-1122-40344-a-speccorr.wav	airport
audio/airport-lyon-1041-40360-a-speccorr.wav	airport
audio/airport-lyon-1101-40386-a-speccorr.wav	airport
audio/airport-lyon-1041-40393-a-speccorr.wav	airport
audio/airport-lisbon-1114-40411-a-speccorr.wav	airport
audio/airport-prague-1015-40417-a-speccorr.wav	airport
audio/airport-prague-1023-40436-a-speccorr.wav	airport
audio/airport-prague-1015-40439-a-speccorr.wav	airport
audio/airport-lisbon-1000-40463-a-speccorr.wav	airport
audio/airport-lisbon-1114-40495-a-speccorr.wav	airport
audio/airport-prague-1023-40504-a-speccorr.wav	airport
audio/airport-prague-1023-40527-a-speccorr.wav	airport
audio/airport-lisbon-1000-40528-a-speccorr.wav	airport
audio/airport-lyon-1041-40530-a-speccorr.wav	airport
audio/airport-prague-1023-40542-a-speccorr.wav	airport
